Genus,Sample1,Sample2,Sample3,Sample4
g__Pseudomonas_E,0.12383,0.02453,0.05791,0.10473
g__Pseudonocardia,0.0,0.00067,0.00068,0.0
g__Pseudoxanthomonas_A,0.0,0.0,0.00033,0.0
g__Quasibacillus,0.0,0.00346,0.0,0.0
g__RPRB01,0.0,0.0,0.00041,0.0
g__RSA1,0.02804,0.01541,0.00122,0.07152
g__RSA17,0.0,0.00052,0.0,0.0
g__RSA5,0.0,0.00072,0.00065,0.0
g__RSA9,0.0,0.00271,0.00065,0.0
g__Ramlibacter,0.0,0.00062,0.0,0.0
g__Rathayibacter,0.0,0.00036,0.0,0.0
g__Reyranella,0.0,0.01123,0.01408,0.0
g__Rhizobacter,0.0,0.00119,0.00061,0.0
g__Rhizobium,0.0,0.00134,0.00031,0.0
g__Rhodococcus,0.01285,0.00976,0.01408,0.01596
g__Rickettsiella,0.0,0.00119,0.0335,0.00958
g__Ruminiclostridium,0.0,0.00028,0.0,0.0
g__Ruminiclostridium_D,0.0,0.00168,0.0007,0.0
g__Rummeliibacillus,0.0,0.00067,0.0,0.0
g__SCGC-AG-212-J23,0.0,0.0,0.00353,0.0
g__SCN-69-37,0.0,0.00039,0.00159,0.0
g__SCPD01,0.0,0.0,0.00041,0.0
g__SCTL01,0.0,0.0,0.00022,0.0
g__SG8-41,0.0,0.0,0.00065,0.0
g__SWB02,0.0,0.0,0.00072,0.0
g__Saccharomonospora,0.07827,0.04136,0.12766,0.11047
g__Saccharopolyspora,0.0,0.00124,0.00772,0.01086
g__Shewanella,0.0,0.0,0.0005,0.0
g__Skermanella,0.0,0.00067,0.0,0.0
g__Solirubrobacter,0.0,0.0,0.00057,0.0
g__Sphaerobacter,0.0,0.00266,0.0024,0.0
g__Sphingobacterium,0.0,0.00243,0.0,0.0
g__Sphingobium,0.0,0.0,0.00028,0.0
g__Sphingomonas,0.0,0.00031,0.00048,0.0
g__Sphingopyxis,0.0,0.00028,0.00109,0.0
g__Spirillospora,0.0,0.008,0.00928,0.00702
g__Staphylococcus,0.0,0.0,0.00054,0.0
g__Stenotrophomonas,0.0,0.00795,0.00048,0.0
g__Streptomyces,0.05023,0.06341,0.04954,0.03321
g__Streptosporangium,0.0,0.00041,0.00035,0.0
g__Symbiobacterium,0.0,0.00263,0.00418,0.0
g__TA-21,0.0,0.00072,0.00139,0.0
g__Thermaerobacter,0.0,0.00165,0.0,0.0
g__Thermasporomyces,0.01168,0.01492,0.00351,0.02874
g__Thermoactinomyces,0.12033,0.0291,0.03104,0.053
g__Thermoactinomyces_A,0.0,0.00054,0.00035,0.0
g__Thermobacillus,0.0,0.00323,0.00303,0.0
g__Thermobifida,0.02921,0.00635,0.03197,0.06513
g__Thermobispora,0.01869,0.01614,0.00377,0.01469
g__Thermoclostridium,0.0,0.0,0.00041,0.0
g__Thermocrispum,0.0,0.0,0.00039,0.0
g__Thermomonospora,0.03154,0.03622,0.00822,0.02043
g__Thermopolyspora,0.06075,0.07035,0.00867,0.04342
g__Thermostaphylospora,0.02453,0.02938,0.02193,0.02937
g__Tranquillimonas,0.0,0.0,0.00275,0.0
g__Tuberibacillus,0.0,0.00036,0.0,0.0
g__UBA2376,0.0,0.0,0.0022,0.0
g__UBA2386,0.0,0.0,0.00288,0.0
g__UBA6159,0.0,0.0,0.00081,0.0
g__USCg-Taylor,0.0,0.00245,0.00512,0.0
g__Ureibacillus,0.01168,0.00478,0.0058,0.01341
g__VAZQ01,0.0,0.0,0.00026,0.0
g__VBAS01,0.0,0.00119,0.0,0.0
g__Variovorax,0.0,0.00343,0.00283,0.0
g__Williamsia,0.0,0.00762,0.00976,0.0
g__ZC4RG25,0.06308,0.08948,0.00983,0.04023
